Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2u2,C_0805_2012Metric,13.55,-12.57985,-90.0,top
C2,2u2,C_0805_2012Metric,19.15,-12.97985,90.0,top
C3,100n,C_0805_2012Metric,20.95,2.42015,180.0,top
C4,4u7,C_0805_2012Metric,24.55,2.42015,0.0,top
D1,IR12-21C/TR8,IR12-21C_TR8,75.263393,-34.03946,5.0,top
D2,IR12-21C/TR8,IR12-21C_TR8,66.838393,-34.66446,5.0,top
FB1,600,R_0805_2012Metric,59.35,-6.37985,0.0,top
FB2,600,R_0805_2012Metric,59.35,-8.97985,0.0,top
FB3,600,R_0805_2012Metric,59.35,-10.94985,0.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,93.468879,-3.86939,90.0,top
Q1,PT26-51B/TR8,PT26-51B_TR8,73.575,-13.884065,185.0,top
Q2,PT26-51B/TR8,PT26-51B_TR8,65.35001,-14.584065,185.0,top
R1,5k1,R_0805_2012Metric,86.75,-10.57985,-90.0,top
R2,5k1,R_0805_2012Metric,84.75,-10.57985,-90.0,top
R3,10k,R_0805_2012Metric,13.35,-50.57985,-90.0,top
R4,39R,R_0805_2012Metric,21.15,-12.97985,90.0,top
R5,100R,R_0805_2012Metric,51.8625,-37.97985,0.0,top
R6,1k,R_0805_2012Metric,45.35,-40.97985,0.0,top
R7,100R,R_0805_2012Metric,51.8625,-35.97985,0.0,top
R8,1k,R_0805_2012Metric,45.35,-38.97985,0.0,top
U2,XC6206P182MR,SOT-23-3,16.35,-12.77985,270.0,top
